scenario_id,origin_latitude,origin_longitude,destination_latitude,destination_longitude,straight_line_distance_km,generation_seed,generation_method
od_01,10.79920439306918,106.66115000810552,10.805572971047097,106.68707545410574,2.918902831080815,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_02,10.799537520759737,106.63665376437883,10.776087579733089,106.621525638113,3.087024889524067,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_03,10.765486385651338,106.6542878896305,10.776300874791875,106.63613550048358,2.319035445599661,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_04,10.792322768162512,106.63114890112082,10.756012195020205,106.61787070547072,4.290180649587548,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_05,10.775500302968537,106.67417471011515,10.751489340242742,106.62861919680236,5.647406950978764,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_06,10.788727943085592,106.67265404421045,10.78304637321694,106.64761724864027,2.8068084909394866,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_07,10.790954730672,106.6578912360163,10.802218892212034,106.63387899927775,2.906505160198627,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_08,10.799565164990703,106.68903344672287,10.774781425489092,106.64443701246266,5.596778485150166,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_09,10.798042926863314,106.68929148468376,10.773482121168517,106.6800488047562,2.9116737402666666,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_10,10.784690698500322,106.65192191922864,10.78543215431568,106.6194194347684,3.551234051212264,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_11,10.813094204700738,106.66550535728128,10.799864951291744,106.62542977979922,4.617752236264383,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_12,10.777587693333428,106.66634819963508,10.811534241698942,106.6744742795683,3.877640596813269,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_13,10.78271871988162,106.65433428429004,10.803405401766309,106.698196608817,5.314585576824305,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_14,10.813671509768245,106.67691292431492,10.811172839407105,106.69780640195624,2.2988579256990973,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_15,10.810265972966844,106.63373445311028,10.762393564686429,106.63253909372284,5.324777379793689,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_16,10.78037874654082,106.62732957500644,10.80368144843654,106.6223438621628,2.6477548162650995,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_17,10.814675138180528,106.69757220748534,10.799619838204844,106.68157073840092,2.420140028492768,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_18,10.799583633053135,106.63062733483976,10.781305351684033,106.66870674556633,4.629392611405403,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_19,10.761019899045207,106.6311504985682,10.776926993798366,106.65894459442366,3.513794379380423,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_20,10.798449521192245,106.69729326816282,10.77800113648359,106.6772690638516,3.154996135371704,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_21,10.790469404046846,106.65911699627524,10.79923188385978,106.68445405870604,2.934009067502288,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_22,10.768373149137515,106.64866934081056,10.752829740555551,106.63195436635417,2.514210597284787,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_23,10.803075074305696,106.64675559927,10.775472637154722,106.66149459345698,3.46586314137504,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_24,10.814709485829338,106.66312405233997,10.799966205311392,106.6809614474392,2.546222575292118,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_25,10.784040011126086,106.63168826950886,10.812151071081413,106.64735573053645,3.5635987735533403,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_26,10.749940910728707,106.63058143958231,10.76189362005488,106.64769292246834,2.29361801922628,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_27,10.773166872536075,106.67841184591884,10.788721231353062,106.65843524450284,2.7844092659734905,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_28,10.790060825724904,106.64884728294992,10.800218360033266,106.67220923018309,2.7905530381725363,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_29,10.79906510929866,106.64832046450286,10.792711732290227,106.68788166629194,4.378520593928541,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
od_30,10.797802954983128,106.66063855794644,10.776283653745809,106.63224418151428,3.9172868116012256,42,seeded uniform rejection inside stations 2–6 polygon; straight-line distance 2–6 km
